,bit_close,nas_close,dow_close,ada_close,amd_close,snp_close,bnb_close,nvda_close,bit_close**2,ada_close**2
761,0.008736062161914412,11484.69,28210.82,3.068769890308491,79.199997,3451.8,0.18327085793569825,135.247498,7.63187820968327e-05,9.417348639663988
762,0.008723509880623368,11506.01,28363.66,3.0073045921848647,79.419998,3428.3,0.1806037360778622,133.610001,7.609962463733353e-05,9.043880910176176
763,0.008792989080847058,11548.28,28335.57,3.041734507080045,81.959999,3428.3,0.18067514937130097,135.902496,7.731665697589558e-05,9.252148811561485
764,0.008759293276051133,11358.94,27685.38,3.1144186112701027,82.230003,3393.5,0.17915923071757622,131.412506,7.672521869587458e-05,9.699603286225594
765,0.00853694830167855,11431.35,27463.19,3.118504803373108,78.879997,3383.1,0.17778312697941784,133.967499,7.287948630553227e-05,9.725072208661148
766,0.008676888279454044,11004.87,26519.95,3.17857788100999,76.400002,3263.5,0.1814780238402686,126.269997,7.528839021412696e-05,10.103357345645959
767,0.008616934082409359,11185.59,26659.11,3.2380268657872198,78.019997,3302.3,0.18305540591687627,130.240005,7.425155298058801e-05,10.484817983559806
768,0.008583229181010468,10911.59,26501.6,3.2726431046745628,75.290001,3264.7,0.18728952764953102,125.339996,7.367182317374963e-05,10.71019289057396
769,0.008564325435740419,10957.61,26925.05,3.2943430835917433,74.699997,3300.5,0.18937515795929066,125.807503,7.334767016927031e-05,10.852696352408756
770,0.008502424386388447,11160.57,27480.03,3.2715045533380036,76.580002,3361.6,0.19296157982447742,130.195007,7.229122044625296e-05,10.702742042511291
771,0.008402478239067111,11590.78,27847.66,3.238145697756498,81.349998,3434.9,0.19269462807291976,137.942505,7.060164055799635e-05,10.485587559898919
772,0.008051820099155359,11890.93,28390.18,3.2109058032404394,83.0,3504.8,0.1900856995067976,141.600006,6.483180690916221e-05,10.30991607728313
773,0.008021695207600708,11895.23,28323.4,3.0274548372859433,85.879997,3500.7,0.18563773540303963,145.619995,6.434759400364416e-05,9.165482791806058
774,0.008088809532540927,11713.78,29157.97,3.0813020019237163,83.120003,3544.0,0.18892145068603694,136.307495,6.542883965372496e-05,9.494422027059102
775,0.008065029025336106,11553.86,29420.92,3.0743046661148368,77.989998,3541.0,0.18833312826011736,127.699997,6.504469317951387e-05,9.451349180095457
776,0.007950418002330328,11786.43,29397.63,3.0719827930124115,81.279999,3568.1,0.18913029228648368,134.179993,6.320914641177815e-05,9.437078280564336
777,0.007843846514978771,11709.59,29080.17,3.093071161985594,81.839996,3532.5,0.19029570830637096,134.567505,6.152592815054461e-05,9.567089213106913
778,0.00782132571057308,11829.29,29479.81,3.0658263638758925,81.43,3581.9,0.18837044412535833,132.970001,6.11731358708715e-05,9.399291293436477
779,0.007726212150690108,11924.13,29950.44,3.100749107442521,83.730003,3623.0,0.1887662564079222,135.152496,5.969435419747146e-05,9.614645027305592
780,0.007539178831120243,11899.34,29783.35,3.0206104666508846,83.360001,3606.8,0.18721674581989772,134.222504,5.683921744761159e-05,9.124087591240874
