Date,Close/Last,Volume,Open,High,Low
05/13/2016,2043.6,342,2059.9,2059.9,2046.7
05/12/2016,2058.8,182,2059.5,2072.5,2058
05/11/2016,2058,135,2077.3,2078,2059.6
05/10/2016,2077.6,567,2053.4,2077.3,2048.7
05/09/2016,2054.3,264,2054,2059.2,2050
05/06/2016,2052.7,423,2043,2053,2030.5
05/05/2016,2043.9,132,2047.5,2059,2043.4
05/04/2016,2046.9,527,2059.5,2059.5,2041.3
05/03/2016,2056.9,307,2075,2075.8,2058.3
05/02/2016,2074.3,493,2058.8,2076,2056.2
04/29/2016,2059.1,563,2073.4,2075,2057.2
04/28/2016,2072.4,451,2092.5,2094,2070.7
04/27/2016,2090.7,143,2082,2092.5,2081.3
04/26/2016,2088.4,686,2084,2091,2082
04/25/2016,2083.2,296,2090.1,2090.1,2074.4
04/22/2016,2086,335,2080.1,2088.4,2077
04/21/2016,2082.8,479,2097.9,2103.5,2095
04/20/2016,2098,333,2094,2098,2086
04/19/2016,2093.7,411,2085.8,2097.9,2085
04/18/2016,2086.7,883,2063.1,2086.1,2058.6
04/15/2016,2075,221,2077.3,2079.5,2072
04/14/2016,2076.6,426,2075.8,2079.4,2068
04/13/2016,2075.9,546,2057,2075.8,2057
04/12/2016,2055.7,231,2056,2056,2030.9
04/11/2016,2034.5,469,2040.4,2051,2033.3
04/08/2016,2040.7,776,2032,2052.5,2031
04/07/2016,2035.1,400,2058.3,2059.5,2034.5
04/06/2016,2060.2,409,2041.7,2060.2,2038.7
04/05/2016,2038.8,512,2054.4,2055.2,2037
04/04/2016,2057.5,1064,2062,2071.2,2061.2
04/01/2016,2065.1,558,2052,2065.2,2036.9
03/31/2016,2051.5,285,2055.7,2056.8,2047.8
03/30/2016,2055.2,347,2048.7,2060.2,2048
03/29/2016,2047.5,211,2030,2049,2021.6
03/28/2016,2028,190,2031.7,2038,2028.1
03/24/2016,2028.6,638,2028,2029,2013.6
03/23/2016,2028.8,269,2040.9,2044,2028.6
03/22/2016,2042.5,620,2043,2043.7,2028.4
03/21/2016,2042.7,369,2036.9,2043.5,2031
03/18/2016,2037.4,444,2032.1,2037,2028
03/17/2016,2030.3,958,2019.2,2032,2006.1
03/16/2016,2030.3,196,2007,2010,1998
03/15/2016,2006.8,309,2009.9,2010,1996
03/14/2016,2008.9,523,2009,2010.9,2004.6
