,bit_close,nas_close,eth_close,dow_close,amd_close,snp_close,bnb_close,nvda_close,bit_close**2,eth_close**2
331,0.01708649923736762,7085.68,0.09758615966525451,24528.22,20.18,2641.9,0.401409592206911,34.502499,0.0002919484561885643,0.009523058558212547
332,0.01716243550194428,7028.29,0.09799345584938005,24579.96,19.25,2640.3,0.40220465383988174,32.900002,0.00029454919235839745,0.009602717389304396
333,0.017047301049679386,7183.08,0.09641651021484915,25014.86,23.09,2682.5,0.40243716659398626,34.3475,0.0002906104730783999,0.00929614344201011
334,0.017098056388175603,7281.74,0.09704928476339009,24999.67,24.41,2704.5,0.39941134996260363,35.9375,0.00029234353225323257,0.00941856367308558
335,0.017050340019758303,7263.87,0.09707312084221856,25063.89,24.51,2704.2,0.39035654944511067,36.182499,0.0002907140947893716,0.009423190790047968
336,0.01711909587141815,7347.54,0.0970187299183261,25239.37,24.129999,2721.2,0.3752800986650538,37.294998,0.00029306344345480595,0.009412633954965102
337,0.017100219471847363,7402.08,0.09713149163810059,25411.52,23.309999,2731.1,0.35760361424189535,37.487499,0.0002924175059853477,0.009434526667842405
338,0.017232368401018435,7375.28,0.09808673756859189,25390.3,23.26,2729.4,0.3516644430535116,38.25,0.00029695452070841865,0.009621008086849816
339,0.017250268063065954,7288.35,0.09839662572425696,25169.53,22.67,2704.1,0.35966743978614696,36.855,0.00029757174824763323,0.009681895953919507
340,0.016687487673897657,7298.2,0.09267646584786975,25106.33,23.049999,2706.3,0.3414825987350209,37.0425,0.00027847224486648623,0.008588927322051368
341,0.016682468795820724,7307.9,0.09132874486725368,25053.11,22.959999,2708.3,0.3235617571016929,36.612499,0.0002783047651235322,0.008340939639027914
342,0.016714693180939655,7414.62,0.09120643376560353,25425.76,22.82,2744.8,0.3271788029069676,37.7925,0.0002793809681329506,0.008318613560239423
343,0.01673759176889084,7420.38,0.09113306473551006,25543.27,22.85,2749.6,0.334429962108934,38.220001,0.0002801469782220424,0.008305235488086666
344,0.01676381305037706,7426.95,0.0913596813452215,25439.39,23.129999,2743.4,0.33744430013556215,38.6325,0.0002810254279879922,0.008346591375500414
345,0.016745350558205113,7472.41,0.09117886067393068,25883.25,23.68,2777.1,0.328375228435518,39.334999,0.0002804067653171803,0.008313584633796061
346,0.01600362020767112,7486.77,0.08328688302992293,25891.32,23.950001,2778.7,0.3076838892849647,39.16,0.0002561158597513794,0.006936704884840064
347,0.015962266702031377,7489.07,0.08288892361399854,25954.44,23.950001,2787.0,0.3019776286010468,39.637501,0.00025479395826677963,0.006870573657887284
348,0.016033881942961684,7459.71,0.08366224102890217,25850.63,23.92,2774.2,0.3087112090080788,38.942501,0.00025708537016083275,0.0069993705739781215
349,0.015944264246969157,7527.54,0.08257252602339746,26031.81,24.360001,2791.2,0.30376879541303464,39.797501,0.0002542195623771789,0.006818222053884651
350,0.016179905223141174,7554.46,0.08511420002962253,26091.95,24.709999,2797.1,0.3187557699550061,39.672501,0.00026178933302983104,0.007244427046682596
351,0.016227306229799777,7549.3,0.08583029555497065,26057.98,24.209999,2791.5,0.32407471484743655,39.275002,0.00026332546747569863,0.007366839635053615
