date,ada_close,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7
2018-11-26,0.035806,0.043412,0.04778,0.044777,0.052582,0.061151,0.063543,0.064824
2018-11-27,0.036461,0.035806,0.043412,0.04778,0.044777,0.052582,0.061151,0.063543
2018-11-28,0.042021,0.036461,0.035806,0.043412,0.04778,0.044777,0.052582,0.061151
2018-11-29,0.041866,0.042021,0.036461,0.035806,0.043412,0.04778,0.044777,0.052582
2018-11-30,0.038916,0.041866,0.042021,0.036461,0.035806,0.043412,0.04778,0.044777
2018-12-03,0.038671,0.038916,0.041866,0.042021,0.036461,0.035806,0.043412,0.04778
2018-12-04,0.037699,0.038671,0.038916,0.041866,0.042021,0.036461,0.035806,0.043412
2018-12-06,0.030798,0.037699,0.038671,0.038916,0.041866,0.042021,0.036461,0.035806
2018-12-07,0.029864,0.030798,0.037699,0.038671,0.038916,0.041866,0.042021,0.036461
2018-12-10,0.030203,0.029864,0.030798,0.037699,0.038671,0.038916,0.041866,0.042021
2018-12-11,0.029551,0.030203,0.029864,0.030798,0.037699,0.038671,0.038916,0.041866
2018-12-12,0.030609,0.029551,0.030203,0.029864,0.030798,0.037699,0.038671,0.038916
2018-12-13,0.02919,0.030609,0.029551,0.030203,0.029864,0.030798,0.037699,0.038671
2018-12-14,0.028358,0.02919,0.030609,0.029551,0.030203,0.029864,0.030798,0.037699
2018-12-17,0.032824,0.028358,0.02919,0.030609,0.029551,0.030203,0.029864,0.030798
2018-12-18,0.034735,0.032824,0.028358,0.02919,0.030609,0.029551,0.030203,0.029864
2018-12-19,0.034545,0.034735,0.032824,0.028358,0.02919,0.030609,0.029551,0.030203
2018-12-20,0.039401,0.034545,0.034735,0.032824,0.028358,0.02919,0.030609,0.029551
2018-12-21,0.040796,0.039401,0.034545,0.034735,0.032824,0.028358,0.02919,0.030609
2018-12-24,0.045716,0.040796,0.039401,0.034545,0.034735,0.032824,0.028358,0.02919
2018-12-26,0.041198,0.045716,0.040796,0.039401,0.034545,0.034735,0.032824,0.028358
2018-12-27,0.036944,0.041198,0.045716,0.040796,0.039401,0.034545,0.034735,0.032824
2018-12-28,0.041862,0.036944,0.041198,0.045716,0.040796,0.039401,0.034545,0.034735
2018-12-31,0.041063,0.041862,0.036944,0.041198,0.045716,0.040796,0.039401,0.034545
2019-01-02,0.045258,0.041063,0.041862,0.036944,0.041198,0.045716,0.040796,0.039401
2019-01-03,0.042682,0.045258,0.041063,0.041862,0.036944,0.041198,0.045716,0.040796
2019-01-04,0.043812,0.042682,0.045258,0.041063,0.041862,0.036944,0.041198,0.045716
2019-01-07,0.047996,0.043812,0.042682,0.045258,0.041063,0.041862,0.036944,0.041198
2019-01-08,0.048525,0.047996,0.043812,0.042682,0.045258,0.041063,0.041862,0.036944
2019-01-09,0.052169,0.048525,0.047996,0.043812,0.042682,0.045258,0.041063,0.041862
2019-01-10,0.044529,0.052169,0.048525,0.047996,0.043812,0.042682,0.045258,0.041063
2019-01-11,0.044147,0.044529,0.052169,0.048525,0.047996,0.043812,0.042682,0.045258
2019-01-14,0.044059,0.044147,0.044529,0.052169,0.048525,0.047996,0.043812,0.042682
2019-01-15,0.04281,0.044059,0.044147,0.044529,0.052169,0.048525,0.047996,0.043812
2019-01-16,0.044777,0.04281,0.044059,0.044147,0.044529,0.052169,0.048525,0.047996
2019-01-17,0.045318,0.044777,0.04281,0.044059,0.044147,0.044529,0.052169,0.048525
2019-01-18,0.044316,0.045318,0.044777,0.04281,0.044059,0.044147,0.044529,0.052169
2019-01-22,0.043578,0.044316,0.045318,0.044777,0.04281,0.044059,0.044147,0.044529
2019-01-23,0.0429,0.043578,0.044316,0.045318,0.044777,0.04281,0.044059,0.044147
2019-01-24,0.043027,0.0429,0.043578,0.044316,0.045318,0.044777,0.04281,0.044059
2019-01-25,0.042691,0.043027,0.0429,0.043578,0.044316,0.045318,0.044777,0.04281
2019-01-28,0.038772,0.042691,0.043027,0.0429,0.043578,0.044316,0.045318,0.044777
2019-01-29,0.038251,0.038772,0.042691,0.043027,0.0429,0.043578,0.044316,0.045318
2019-01-30,0.039656,0.038251,0.038772,0.042691,0.043027,0.0429,0.043578,0.044316
2019-01-31,0.038374,0.039656,0.038251,0.038772,0.042691,0.043027,0.0429,0.043578
2019-02-01,0.038678,0.038374,0.039656,0.038251,0.038772,0.042691,0.043027,0.0429
2019-02-04,0.037857,0.038678,0.038374,0.039656,0.038251,0.038772,0.042691,0.043027
2019-02-05,0.037896,0.037857,0.038678,0.038374,0.039656,0.038251,0.038772,0.042691
2019-02-06,0.036663,0.037896,0.037857,0.038678,0.038374,0.039656,0.038251,0.038772
2019-02-07,0.036396,0.036663,0.037896,0.037857,0.038678,0.038374,0.039656,0.038251
2019-02-08,0.040751,0.036396,0.036663,0.037896,0.037857,0.038678,0.038374,0.039656
2019-02-11,0.041733,0.040751,0.036396,0.036663,0.037896,0.037857,0.038678,0.038374
2019-02-12,0.041751,0.041733,0.040751,0.036396,0.036663,0.037896,0.037857,0.038678
2019-02-13,0.041118,0.041751,0.041733,0.040751,0.036396,0.036663,0.037896,0.037857
2019-02-14,0.04054,0.041118,0.041751,0.041733,0.040751,0.036396,0.036663,0.037896
2019-02-15,0.0406,0.04054,0.041118,0.041751,0.041733,0.040751,0.036396,0.036663
2019-02-19,0.046158,0.0406,0.04054,0.041118,0.041751,0.041733,0.040751,0.036396
2019-02-20,0.047551,0.046158,0.0406,0.04054,0.041118,0.041751,0.041733,0.040751
2019-02-21,0.044969,0.047551,0.046158,0.0406,0.04054,0.041118,0.041751,0.041733
2019-02-22,0.046163,0.044969,0.047551,0.046158,0.0406,0.04054,0.041118,0.041751
2019-02-25,0.044043,0.046163,0.044969,0.047551,0.046158,0.0406,0.04054,0.041118
2019-02-26,0.043304,0.044043,0.046163,0.044969,0.047551,0.046158,0.0406,0.04054
2019-02-27,0.04327,0.043304,0.044043,0.046163,0.044969,0.047551,0.046158,0.0406
2019-02-28,0.043123,0.04327,0.043304,0.044043,0.046163,0.044969,0.047551,0.046158
2019-03-01,0.043279,0.043123,0.04327,0.043304,0.044043,0.046163,0.044969,0.047551
2019-03-04,0.040602,0.043279,0.043123,0.04327,0.043304,0.044043,0.046163,0.044969
2019-03-05,0.043212,0.040602,0.043279,0.043123,0.04327,0.043304,0.044043,0.046163
2019-03-06,0.042843,0.043212,0.040602,0.043279,0.043123,0.04327,0.043304,0.044043
2019-03-07,0.042944,0.042843,0.043212,0.040602,0.043279,0.043123,0.04327,0.043304
2019-03-08,0.042664,0.042944,0.042843,0.043212,0.040602,0.043279,0.043123,0.04327
2019-03-11,0.047633,0.042664,0.042944,0.042843,0.043212,0.040602,0.043279,0.043123
2019-03-12,0.047397,0.047633,0.042664,0.042944,0.042843,0.043212,0.040602,0.043279
2019-03-13,0.04659,0.047397,0.047633,0.042664,0.042944,0.042843,0.043212,0.040602
2019-03-14,0.048055,0.04659,0.047397,0.047633,0.042664,0.042944,0.042843,0.043212
2019-03-15,0.050077,0.048055,0.04659,0.047397,0.047633,0.042664,0.042944,0.042843
2019-03-18,0.050452,0.050077,0.048055,0.04659,0.047397,0.047633,0.042664,0.042944
2019-03-19,0.052594,0.050452,0.050077,0.048055,0.04659,0.047397,0.047633,0.042664
2019-03-20,0.053891,0.052594,0.050452,0.050077,0.048055,0.04659,0.047397,0.047633
2019-03-21,0.0529,0.053891,0.052594,0.050452,0.050077,0.048055,0.04659,0.047397
2019-03-22,0.058062,0.0529,0.053891,0.052594,0.050452,0.050077,0.048055,0.04659
2019-03-25,0.059025,0.058062,0.0529,0.053891,0.052594,0.050452,0.050077,0.048055
2019-03-26,0.06237,0.059025,0.058062,0.0529,0.053891,0.052594,0.050452,0.050077
2019-03-27,0.067595,0.06237,0.059025,0.058062,0.0529,0.053891,0.052594,0.050452
2019-03-28,0.065828,0.067595,0.06237,0.059025,0.058062,0.0529,0.053891,0.052594
2019-03-29,0.071289,0.065828,0.067595,0.06237,0.059025,0.058062,0.0529,0.053891
2019-04-01,0.07233,0.071289,0.065828,0.067595,0.06237,0.059025,0.058062,0.0529
2019-04-02,0.085467,0.07233,0.071289,0.065828,0.067595,0.06237,0.059025,0.058062
2019-04-03,0.090723,0.085467,0.07233,0.071289,0.065828,0.067595,0.06237,0.059025
2019-04-04,0.08737,0.090723,0.085467,0.07233,0.071289,0.065828,0.067595,0.06237
2019-04-05,0.091226,0.08737,0.090723,0.085467,0.07233,0.071289,0.065828,0.067595
2019-04-08,0.087009,0.091226,0.08737,0.090723,0.085467,0.07233,0.071289,0.065828
2019-04-09,0.083749,0.087009,0.091226,0.08737,0.090723,0.085467,0.07233,0.071289
2019-04-10,0.089964,0.083749,0.087009,0.091226,0.08737,0.090723,0.085467,0.07233
2019-04-11,0.083385,0.089964,0.083749,0.087009,0.091226,0.08737,0.090723,0.085467
2019-04-12,0.083463,0.083385,0.089964,0.083749,0.087009,0.091226,0.08737,0.090723
2019-04-15,0.082307,0.083463,0.083385,0.089964,0.083749,0.087009,0.091226,0.08737
2019-04-16,0.083783,0.082307,0.083463,0.083385,0.089964,0.083749,0.087009,0.091226
2019-04-17,0.083074,0.083783,0.082307,0.083463,0.083385,0.089964,0.083749,0.087009
2019-04-18,0.081775,0.083074,0.083783,0.082307,0.083463,0.083385,0.089964,0.083749
2019-04-22,0.07804,0.081775,0.083074,0.083783,0.082307,0.083463,0.083385,0.089964
2019-04-23,0.074524,0.07804,0.081775,0.083074,0.083783,0.082307,0.083463,0.083385
2019-04-24,0.072645,0.074524,0.07804,0.081775,0.083074,0.083783,0.082307,0.083463
2019-04-25,0.069244,0.072645,0.074524,0.07804,0.081775,0.083074,0.083783,0.082307
2019-04-26,0.069219,0.069244,0.072645,0.074524,0.07804,0.081775,0.083074,0.083783
2019-04-29,0.064631,0.069219,0.069244,0.072645,0.074524,0.07804,0.081775,0.083074
2019-04-30,0.070346,0.064631,0.069219,0.069244,0.072645,0.074524,0.07804,0.081775
2019-05-01,0.069014,0.070346,0.064631,0.069219,0.069244,0.072645,0.074524,0.07804
2019-05-02,0.068579,0.069014,0.070346,0.064631,0.069219,0.069244,0.072645,0.074524
2019-05-03,0.069858,0.068579,0.069014,0.070346,0.064631,0.069219,0.069244,0.072645
2019-05-06,0.06678,0.069858,0.068579,0.069014,0.070346,0.064631,0.069219,0.069244
2019-05-07,0.064036,0.06678,0.069858,0.068579,0.069014,0.070346,0.064631,0.069219
2019-05-08,0.064606,0.064036,0.06678,0.069858,0.068579,0.069014,0.070346,0.064631
2019-05-09,0.061691,0.064606,0.064036,0.06678,0.069858,0.068579,0.069014,0.070346
2019-05-10,0.063428,0.061691,0.064606,0.064036,0.06678,0.069858,0.068579,0.069014
2019-05-13,0.073072,0.063428,0.061691,0.064606,0.064036,0.06678,0.069858,0.068579
2019-05-14,0.084505,0.073072,0.063428,0.061691,0.064606,0.064036,0.06678,0.069858
2019-05-15,0.093951,0.084505,0.073072,0.063428,0.061691,0.064606,0.064036,0.06678
2019-05-16,0.088161,0.093951,0.084505,0.073072,0.063428,0.061691,0.064606,0.064036
2019-05-17,0.08326,0.088161,0.093951,0.084505,0.073072,0.063428,0.061691,0.064606
2019-05-20,0.084848,0.08326,0.088161,0.093951,0.084505,0.073072,0.063428,0.061691
2019-05-21,0.084617,0.084848,0.08326,0.088161,0.093951,0.084505,0.073072,0.063428
2019-05-22,0.077955,0.084617,0.084848,0.08326,0.088161,0.093951,0.084505,0.073072
2019-05-23,0.08069,0.077955,0.084617,0.084848,0.08326,0.088161,0.093951,0.084505
2019-05-24,0.080869,0.08069,0.077955,0.084617,0.084848,0.08326,0.088161,0.093951
2019-05-28,0.092815,0.080869,0.08069,0.077955,0.084617,0.084848,0.08326,0.088161
2019-05-29,0.090867,0.092815,0.080869,0.08069,0.077955,0.084617,0.084848,0.08326
2019-05-30,0.08451,0.090867,0.092815,0.080869,0.08069,0.077955,0.084617,0.084848
2019-05-31,0.089441,0.08451,0.090867,0.092815,0.080869,0.08069,0.077955,0.084617
2019-06-03,0.088708,0.089441,0.08451,0.090867,0.092815,0.080869,0.08069,0.077955
2019-06-04,0.082486,0.088708,0.089441,0.08451,0.090867,0.092815,0.080869,0.08069
2019-06-05,0.083438,0.082486,0.088708,0.089441,0.08451,0.090867,0.092815,0.080869
2019-06-06,0.083472,0.083438,0.082486,0.088708,0.089441,0.08451,0.090867,0.092815
