,nas_close,eth_close,dow_close,ada_close,amd_close,snp_close,bnb_close,nvda_close,eth_close**2,ada_close**2
106,7372.01,0.0350712939327212,24884.12,1.871999527237811,11.76,2723.9,0.32643536846496163,60.540001,0.001229995658115327,3.504382229978588
107,7396.65,0.03664862898549996,24801.36,2.010965527317914,12.24,2723.3,0.3326892788556546,60.459999,0.001343122006516828,4.043982352061016
108,7427.95,0.0387975360374158,24895.21,2.1236113633247955,11.97,2739.3,0.3468869731595645,60.294998,0.0015052488025745778,4.509725222442197
109,7560.81,0.036802430995680924,25335.74,2.1213930025142846,11.7,2788.8,0.3468320966273233,61.3325,0.001354418927191856,4.500308271116571
110,7588.32,0.03791765249894956,25178.61,2.1141979794787855,11.52,2789.1,0.35268881966330223,62.439999,0.0014377483710310956,4.469833096432179
111,7511.01,0.03776223403199624,25007.03,2.117494311663562,11.64,2772.8,0.3144218820291715,61.927502,0.0014259863190872548,4.483782159927541
112,7496.81,0.041131163023061364,24758.12,2.2385205009408695,11.36,2753.9,0.33409128106966,62.185001,0.0016917725716296503,5.010974033132562
113,7481.74,0.04081231518822604,24873.66,2.320510427344647,11.46,2755.6,0.331513530316276,62.334999,0.001665645071023106,5.384768643415236
114,7481.99,0.040899299487500894,24946.51,2.36440317990916,11.47,2755.9,0.33129078052272526,62.619999,0.001672752698568291,5.590402397164547
115,7344.24,0.04241493942176281,24610.91,2.2493331715572986,11.43,2722.8,0.3334678591713831,60.25,0.001799027086151809,5.059499716668015
116,7364.3,0.04208939110491085,24727.27,2.208916082765832,11.11,2723.6,0.33039252854343404,62.395,0.0017715168435821485,4.879310260701548
117,7345.29,0.041792304988125556,24682.31,2.1657962816970393,11.26,2718.3,0.3165127558002231,62.139999,0.0017465967562205042,4.6906735338127215
118,7166.68,0.04397208307141139,23957.89,2.216858984754559,10.91,2643.3,0.3151846549858092,60.462502,0.0019335440896391044,4.914463758287014
119,6992.67,0.042965292841239906,23533.2,2.2986440734888745,10.63,2597.8,0.2918840390589402,58.2425,0.001846016388933501,5.283764576585526
120,7220.54,0.04646440847797856,24202.6,2.4411600688351567,10.44,2659.5,0.2879394294432532,61.119999,0.0021589412552084457,5.959262481675267
